product_id,product_name,set_code,snapshot_date,printing,market_price,low_price
628451,Premium Booster Vol. 2 - Booster Pack,PRB-02,2026-05-04,Normal,10.48,9.36
628452,Premium Booster Vol. 2 - Booster Box,PRB-02,2026-05-04,Normal,332.29,333.99
628453,Premium Booster Vol. 2 - Booster Box Case,PRB-02,2026-05-04,Normal,3500.48,3200.0
628479,Learn Together Deck Set Display,LT-01,2026-05-04,Normal,155.26,228.97
628485,Starter Deck EX: Gear 5 Bonus Pack,ST-21,2026-05-04,Normal,29.24,40.0
629815,One Piece Tin Pack Set Vol. 1 [Set of 2],OP-PR,2026-05-04,Normal,64.59,75.0
632451,When Two Men Are Fighting the Last Thing I Need Is Some Half-Hearted Assistance!!!!,OP11,2026-05-04,Normal,0.09,0.01
634495,When Two Men Are Fighting the Last Thing I Need Is Some Half-Hearted Assistance!!!!,OP11 RE,2026-05-04,Normal,2.36,1.99
635482,One Piece English Version 2nd Anniversary Set (Sealed Promotional Bundle),OP-CS,2026-05-04,Normal,1142.7,1054.0
636741,A Fist of Divine Speed - Sleeved Booster Pack,OP11,2026-05-04,Normal,26.66,25.0
636744,DON!! Card (Koby) (Double Pack Set Vol. 7),OP11,2026-05-04,Foil,1.53,1.0
636745,DON!! Card (Katakuri) (Double Pack Set Vol. 7),OP11,2026-05-04,Foil,3.05,2.27
643818,"The ""Extinguishes All Sound Created by Your Influence"" Technique",OP12,2026-05-04,Normal,0.07,0.01
643863,We'll Ring the Bell Waiting for You!!,OP12,2026-05-04,Normal,0.07,0.01
646249,Treasure Booster Set Display Case,OP-PR,2026-05-04,Normal,1274.0,2499.99
649248,We'll Ring the Bell Waiting for You!!,OP12 RE,2026-05-04,Normal,0.46,0.3
649264,"The ""Extinguishes All Sound Created by Your Influence"" Technique",OP12 RE,2026-05-04,Normal,1.61,1.0
650645,Legacy of the Master - Sleeved Booster Pack,OP12,2026-05-04,Normal,14.55,12.0
651174,DON!! Card (2Y) (Double Pack Set Vol. 8),OP12,2026-05-04,Foil,2.68,1.0
